,0
0,480
1,420
2,545
3,550
4,455
5,420
6,745
7,645
8,415
9,505
10,480
11,690
12,945
13,645
14,485
15,580
16,570
17,520
18,520
19,455
20,580
21,675
22,595
23,405
24,490
25,580
26,585
27,615
28,470
29,575
30,535
31,670
32,540
33,600
34,735
35,525
36,590
37,495
38,670
39,635
40,420
41,595
42,600
43,630
44,695
45,470
46,630
47,690
48,635
49,410
50,595
51,575
52,525
53,530
54,725
55,545
56,690
57,515
58,650
59,525
60,665
61,500
62,555
63,535
64,520
65,470
66,585
67,590
68,635
69,715
70,515
71,465
72,655
73,795
74,515
75,615
76,590
77,780
78,615
79,675
80,660
81,590
82,455
83,560
84,675
85,580
86,775
87,840
88,595
89,565
90,640
91,945
92,600
93,730
94,695
95,440
96,470
97,650
98,760
99,865
100,625
101,665
102,1050
103,515
104,470
105,710
106,605
107,915
108,1230
109,635
110,510
111,440
112,965
113,750
114,1245
115,590
116,515
117,745
118,1125
119,590
120,645
121,620
122,515
123,455
124,545
125,565
126,580
127,565
128,705
129,485
130,510
131,595
132,500
133,590
134,500
135,570
136,475
137,480
138,550
139,480
140,575
141,670
142,580
143,605
144,485
145,680
146,560
147,515
148,455
149,485
150,580
151,615
152,420
153,580
154,575
155,645
156,555
157,645
158,445
159,470
160,585
161,500
162,445
163,550
164,450
165,620
166,535
167,590
168,405
169,560
170,685
171,595
172,480
173,430
174,430
175,610
176,480
177,430
178,495
179,660
180,640
181,460
182,590
183,810
184,575
185,490
186,635
187,530
188,415
189,430
190,520
191,495
192,510
193,535
194,575
195,600
196,455
197,605
198,655
199,410
200,655
201,540
202,460
203,430
204,600
205,435
206,510
207,605
208,735
209,410
210,420
211,450
212,440
213,435
214,585
215,520
216,540
217,430
218,585
219,515
220,425
221,505
222,425
223,660
224,415
225,645
226,735
227,550
228,575
229,570
230,485
231,435
232,590
233,455
234,605
235,455
236,500
237,410
238,420
239,580
240,1005
241,465
242,410
243,565
244,585
245,565
246,430
247,595
248,625
249,525
250,680
251,525
252,450
253,620
254,490
255,520
256,560
257,635
258,610
259,425
260,655
261,600
262,590
263,450
264,580
265,435
266,505
267,495
268,615
269,595
270,545
271,550
272,530
273,555
274,565
275,500
276,550
277,675
278,520
279,500
280,460
281,575
282,510
283,535
284,455
285,500
286,590
287,440
288,730
289,600
290,530
291,710
292,480
293,505
294,590
295,580
296,440
297,795
298,615
299,620
300,550
301,425
302,635
303,460
304,535
305,620
306,565
307,420
308,445
309,580
310,605
311,605
312,550
313,460
314,435
315,475
316,620
317,505
318,965
319,510
320,520
321,580
322,900
323,535
324,570
325,480
326,605
327,650
328,430
329,585
330,420
331,440
332,570
333,470
334,585
335,580
336,575
337,505
338,640
339,685
340,450
341,450
342,580
343,435
344,545
345,815
346,485
347,465
348,690
349,480
350,500
351,480
352,600
353,600
354,435
355,560
356,670
357,510
358,420
359,675
360,580
361,515
362,1060
363,440
364,595
365,665
366,455
367,530
368,490
369,590
370,495
371,905
372,545
373,595
374,560
375,465
376,595
377,560
378,525
379,500
380,465
381,590
382,520
383,465
384,630
385,435
386,620
387,430
388,585
389,430
390,535
391,580
392,410
393,660
394,535
395,575
396,500
397,490
398,430
399,675
400,600
401,665
402,495
403,595
404,495
405,565
406,590
407,595
408,570
409,415
410,415
411,420
412,535
413,550
414,475
415,530
416,590
417,565
418,575
419,535
420,535
421,580
422,500
423,515
424,570
425,690
426,580
427,550
428,510
429,585
430,575
431,615
432,425
433,425
434,565
435,605
436,600
437,740
438,465
439,435
440,415
441,445
442,460
443,485
444,460
445,510
446,455
447,455
448,490
449,520
450,595
451,480
452,485
453,455
454,545
455,520
456,520
457,435
458,445
459,590
460,620
461,585
462,500
463,670
464,645
465,570
466,470
467,600
468,590
469,430
470,500
471,560
472,680
473,490
474,415
475,590
476,555
477,985
478,445
479,575
480,510
481,555
482,495
483,550
484,645
485,710
486,610
487,620
488,590
489,615
490,490
491,470
492,670
493,600
494,690
495,675
496,435
497,565
498,495
499,620
500,515
501,465
502,520
503,540
504,480
505,635
506,885
507,675
508,525
509,655
510,560
511,465
512,575
513,560
514,535
515,580
516,510
517,605
518,700
519,705
520,560
521,485
522,580
523,600
524,565
525,560
526,615
527,635
528,715
529,505
530,660
531,600
532,480
533,510
534,575
535,570
536,575
537,730
538,645
539,695
540,570
541,605
542,545
543,465
544,415
545,520
546,550
547,535
548,540
549,675
550,500
551,450
552,665
553,525
554,415
555,525
556,460
557,545
558,530
559,450
560,605
561,710
562,990
563,1115
564,480
565,480
566,590
567,550
568,570
569,525
570,595
571,510
572,510
573,455
574,470
575,505
576,540
577,455
578,445
579,560
580,485
581,580
582,445
583,430
584,495
585,510
586,670
587,535
588,535
589,540
590,545
591,460
592,535
593,570
594,570
595,695
596,515
597,545
598,545
599,495
600,495
601,485
602,535
603,420
604,485
605,510
606,560
607,705
608,480
609,440
610,530
611,515
612,410
613,465
614,505
615,470
616,510
617,435
618,415
619,485
620,600
621,435
622,415
623,415
624,570
625,630
626,695
627,590
628,535
629,605
630,440
631,455
632,600
633,465
634,480
635,545
636,420
637,530
638,450
639,520
640,580
641,460
642,450
643,550
644,430
645,470
646,405
647,440
648,480
649,530
650,455
651,410
652,485
653,515
654,570
655,515
656,600
657,555
658,545
659,420
660,410
661,470
662,510
663,555
664,510
665,560
666,530
667,465
668,550
669,535
670,490
671,440
672,470
673,470
674,550
675,470
676,570
677,415
678,485
679,425
680,525
681,550
682,430
683,570
684,545
685,460
686,565
687,580
688,495
689,455
690,435
691,465
692,550
693,590
694,520
695,540
696,510
697,450
698,455
