,0
0,1485
1,1425
2,1550
3,1555
4,1210
5,1425
6,1500
7,1400
8,1170
9,1510
10,1235
11,1445
12,1700
13,1650
14,1240
15,1335
16,1575
17,1275
18,1275
19,1460
20,1585
21,1680
22,1600
23,1160
24,1245
25,1585
26,1590
27,1370
28,1225
29,1330
30,1540
31,1425
32,1295
33,1355
34,1740
35,1280
36,1595
37,1500
38,1675
39,1640
40,1175
41,1600
42,1355
43,1385
44,1700
45,1475
46,1385
47,1445
48,1640
49,1415
50,1350
51,1330
52,1530
53,1535
54,1480
55,1550
56,1445
57,1270
58,1655
59,1280
60,1420
61,1505
62,1310
63,1290
64,1525
65,1475
66,1590
67,1595
68,1640
69,1470
70,1270
71,1470
72,1410
73,1800
74,1270
75,1620
76,1345
77,1785
78,1370
79,1430
80,1665
81,1595
82,1210
83,1315
84,1430
85,1585
86,1780
87,1845
88,1350
89,1570
90,1395
91,1700
92,1605
93,1485
94,1700
95,1195
96,1225
97,1655
98,1765
99,1870
100,1380
101,1670
102,1805
103,1270
104,1475
105,1465
106,1360
107,1920
108,2235
109,1640
110,1515
111,1195
112,1970
113,1755
114,2250
115,1345
116,1270
117,1500
118,1880
119,1345
120,1400
121,1625
122,1270
123,1460
124,1300
125,1570
126,1585
127,1570
128,1460
129,1240
130,1515
131,1600
132,1255
133,1345
134,1505
135,1575
136,1480
137,1235
138,1555
139,1485
140,1580
141,1675
142,1335
143,1360
144,1240
145,1435
146,1315
147,1270
148,1460
149,1240
150,1585
151,1620
152,1425
153,1335
154,1330
155,1400
156,1560
157,1400
158,1200
159,1475
160,1590
161,1505
162,1200
163,1305
164,1455
165,1625
166,1540
167,1345
168,1410
169,1565
170,1440
171,1350
172,1235
173,1185
174,1435
175,1365
176,1485
177,1185
178,1250
179,1665
180,1645
181,1465
182,1595
183,1565
184,1580
185,1495
186,1390
187,1285
188,1170
189,1435
190,1525
191,1250
192,1265
193,1290
194,1580
195,1605
196,1460
197,1360
198,1410
199,1415
200,1660
201,1295
202,1215
203,1435
204,1355
205,1190
206,1515
207,1610
208,1490
209,1165
210,1425
211,1455
212,1445
213,1190
214,1590
215,1275
216,1295
217,1185
218,1590
219,1270
220,1430
221,1260
222,1180
223,1665
224,1420
225,1650
226,1740
227,1305
228,1580
229,1325
230,1240
231,1440
232,1595
233,1210
234,1360
235,1460
236,1255
237,1415
238,1175
239,1585
240,1760
241,1220
242,1165
243,1320
244,1590
245,1320
246,1185
247,1600
248,1630
249,1530
250,1685
251,1280
252,1455
253,1375
254,1495
255,1525
256,1315
257,1390
258,1615
259,1180
260,1660
261,1605
262,1345
263,1205
264,1585
265,1440
266,1260
267,1500
268,1620
269,1600
270,1550
271,1305
272,1285
273,1310
274,1570
275,1505
276,1305
277,1430
278,1275
279,1505
280,1215
281,1580
282,1515
283,1540
284,1460
285,1505
286,1345
287,1195
288,1485
289,1355
290,1535
291,1715
292,1485
293,1260
294,1345
295,1585
296,1445
297,1550
298,1370
299,1625
300,1555
301,1430
302,1390
303,1465
304,1540
305,1375
306,1320
307,1425
308,1200
309,1585
310,1610
311,1360
312,1305
313,1215
314,1190
315,1230
316,1375
317,1510
318,1970
319,1515
320,1275
321,1585
322,1905
323,1540
324,1575
325,1235
326,1360
327,1405
328,1435
329,1340
330,1425
331,1195
332,1325
333,1475
334,1590
335,1335
336,1330
337,1510
338,1395
339,1690
340,1455
341,1205
342,1335
343,1190
344,1550
345,1820
346,1240
347,1220
348,1695
349,1235
350,1255
351,1485
352,1605
353,1605
354,1190
355,1565
356,1675
357,1265
358,1175
359,1680
360,1335
361,1270
362,1815
363,1445
364,1600
365,1420
366,1210
367,1535
368,1495
369,1595
370,1500
371,1660
372,1550
373,1350
374,1315
375,1470
376,1600
377,1315
378,1530
379,1255
380,1470
381,1345
382,1275
383,1470
384,1635
385,1190
386,1375
387,1185
388,1340
389,1435
390,1540
391,1585
392,1165
393,1665
394,1290
395,1330
396,1505
397,1245
398,1185
399,1680
400,1605
401,1420
402,1500
403,1350
404,1250
405,1320
406,1595
407,1350
408,1325
409,1170
410,1170
411,1425
412,1540
413,1555
414,1480
415,1285
416,1345
417,1570
418,1580
419,1290
420,1290
421,1585
422,1505
423,1520
424,1325
425,1695
426,1335
427,1305
428,1515
429,1590
430,1580
431,1370
432,1430
433,1430
434,1570
435,1360
436,1355
437,1495
438,1470
439,1440
440,1170
441,1200
442,1215
443,1490
444,1465
445,1515
446,1210
447,1210
448,1495
449,1275
450,1350
451,1235
452,1240
453,1460
454,1300
455,1525
456,1525
457,1190
458,1450
459,1345
460,1625
461,1590
462,1505
463,1425
464,1650
465,1575
466,1225
467,1355
468,1595
469,1185
470,1505
471,1315
472,1685
473,1245
474,1170
475,1345
476,1310
477,1990
478,1450
479,1580
480,1515
481,1310
482,1500
483,1305
484,1400
485,1465
486,1615
487,1625
488,1595
489,1370
490,1495
491,1225
492,1675
493,1355
494,1695
495,1680
496,1190
497,1320
498,1250
499,1625
500,1520
501,1220
502,1275
503,1295
504,1235
505,1390
506,1640
507,1680
508,1530
509,1410
510,1565
511,1470
512,1330
513,1315
514,1290
515,1585
516,1515
517,1610
518,1705
519,1460
520,1315
521,1490
522,1335
523,1605
524,1320
525,1565
526,1620
527,1640
528,1470
529,1260
530,1415
531,1355
532,1485
533,1515
534,1580
535,1575
536,1330
537,1485
538,1400
539,1450
540,1575
541,1360
542,1300
543,1470
544,1170
545,1525
546,1305
547,1540
548,1545
549,1680
550,1505
551,1455
552,1670
553,1280
554,1170
555,1530
556,1215
557,1550
558,1535
559,1205
560,1360
561,1465
562,1745
563,2120
564,1235
565,1485
566,1595
567,1555
568,1325
569,1530
570,1600
571,1265
572,1265
573,1210
574,1225
575,1510
576,1295
577,1460
578,1450
579,1315
580,1490
581,1585
582,1200
583,1435
584,1500
585,1515
586,1675
587,1290
588,1540
589,1295
590,1300
591,1465
592,1290
593,1325
594,1325
595,1700
596,1270
597,1300
598,1550
599,1500
600,1250
601,1490
602,1290
603,1175
604,1240
605,1515
606,1315
607,1710
608,1235
609,1195
610,1535
611,1520
612,1415
613,1220
614,1260
615,1475
616,1265
617,1190
618,1170
619,1490
620,1355
621,1440
622,1170
623,1170
624,1575
625,1635
626,1700
627,1595
628,1540
629,1610
630,1445
631,1460
632,1355
633,1220
634,1235
635,1550
636,1175
637,1535
638,1455
639,1275
640,1335
641,1215
642,1205
643,1305
644,1185
645,1225
646,1160
647,1445
648,1485
649,1285
650,1460
651,1415
652,1490
653,1520
654,1325
655,1520
656,1355
657,1560
658,1550
659,1175
660,1165
661,1225
662,1515
663,1560
664,1265
665,1315
666,1535
667,1220
668,1555
669,1540
670,1245
671,1195
672,1475
673,1475
674,1555
675,1225
676,1575
677,1170
678,1240
679,1180
680,1280
681,1305
682,1185
683,1575
684,1550
685,1215
686,1570
687,1585
688,1500
689,1460
690,1440
691,1220
692,1305
693,1345
694,1275
695,1295
696,1515
697,1455
698,1210
699,1580
700,1265
701,1460
702,1245
703,1565
704,1505
705,1515
706,1265
707,1175
708,1165
709,1415
710,1485
711,1535
712,1565
713,1350
714,1455
715,1320
716,1255
717,1330
718,1565
719,1315
720,1530
721,1215
722,1535
723,1735
724,1260
725,1535
726,1170
727,1720
728,1215
729,1265
730,1430
731,1480
732,1980
733,1295
734,1240
735,1180
736,1835
737,1290
738,1585
739,1560
740,1450
741,1195
742,1185
743,1230
744,1350
745,1255
746,1520
747,1535
748,1430
749,1430
750,1295
751,1330
752,1310
753,1530
754,1485
755,1485
756,1520
757,1520
758,1255
759,1430
760,1280
761,1260
762,1545
763,1230
764,1440
765,1505
766,1230
767,1295
768,1270
769,1355
770,1355
771,1425
772,1180
773,1490
774,1595
775,1350
776,1475
777,1280
778,1185
779,1445
780,1225
781,1475
782,1410
783,1490
784,1610
785,1305
786,1430
787,1200
788,1335
789,1550
790,1275
791,1540
792,1405
793,1200
794,1470
795,1575
796,1185
797,1160
798,1480
799,1355
800,1580
801,1175
802,1525
803,1410
804,1295
805,1540
806,1585
807,1305
808,1555
809,1165
810,1215
811,1250
812,1580
813,1295
814,1490
815,1480
816,1425
817,1450
818,1430
819,1415
820,1295
821,1250
822,1230
823,1165
824,1475
825,1180
826,1440
827,1560
828,1200
829,1265
830,1430
831,1460
832,1555
833,1250
834,1165
835,1250
836,1480
837,1570
838,1510
839,1415
840,2175
841,1310
842,1270
843,1350
844,1230
845,1560
846,1575
847,1200
848,1245
849,1425
850,1275
851,1565
852,1450
853,1525
854,1590
855,1540
856,1340
857,1495
858,1600
859,1305
860,1220
861,1295
862,1170
863,1165
864,1490
865,1470
866,1610
867,1290
868,1430
869,1300
870,1295
871,1530
872,1205
873,1595
874,1610
875,1610
876,1315
877,1500
878,1205
879,1225
880,1580
881,1600
882,1570
883,1190
884,1340
885,1465
886,1495
887,1520
888,1470
889,1200
890,1230
891,1175
892,1595
893,1425
894,1355
895,1235
896,1545
897,1450
898,1205
899,1305
900,1510
901,1325
902,1260
903,1435
904,1630
905,1290
906,1420
907,1385
908,1330
909,1455
910,1540
911,1435
912,1360
913,1320
914,1445
915,1245
916,1485
917,1285
918,1225
919,1345
920,1475
921,1275
922,1545
923,1165
924,1515
925,1250
926,1525
927,1200
928,1260
929,1520
930,1445
931,1485
932,1420
933,1210
934,1470
935,1290
936,1580
937,1210
938,1245
939,1595
940,1585
941,1185
942,1325
943,1610
944,1440
945,1475
946,1265
947,1270
948,1165
949,1570
950,1450
951,1570
952,1295
953,1355
954,1260
955,1540
956,1355
957,1475
958,1470
959,1435
960,1590
961,1440
962,1590
963,1265
964,1255
965,1340
966,1575
967,1335
968,1260
969,1250
970,1485
971,1205
972,1205
973,1565
974,1330
975,1495
976,1485
977,1445
978,1590
979,1210
980,1565
981,1510
982,1605
983,1165
984,1355
985,1435
986,1325
987,1180
988,1545
989,1200
990,1570
991,1515
992,1600
993,1295
994,1485
995,1265
996,1240
997,1255
998,1580
999,1230
1000,1590
1001,1200
1002,1590
1003,1445
1004,1315
1005,1270
1006,1525
1007,1335
1008,1235
1009,1580
1010,1310
1011,1550
1012,1555
1013,1565
1014,1250
1015,1190
1016,1330
1017,1525
1018,1490
1019,1535
1020,1570
1021,1285
1022,1475
1023,1350
1024,1450
1025,1190
1026,1330
1027,1545
1028,1310
1029,1580
1030,1300
1031,1310
1032,2025
1033,1475
1034,1275
1035,1505
1036,2000
1037,1270
1038,1340
1039,1495
1040,1360
1041,1255
1042,1490
1043,1950
1044,1195
1045,1325
1046,1225
1047,1165
1048,1600
1049,1570
1050,1480
1051,1605
1052,1425
1053,1560
1054,1470
1055,1360
1056,1610
1057,1295
1058,1235
1059,1510
1060,1310
1061,1525
1062,1480
1063,1200
1064,1455
1065,1350
1066,1415
1067,1195
1068,1330
1069,1415
1070,1500
1071,1600
1072,1165
1073,1175
1074,1320
1075,1430
1076,1530
1077,1195
1078,1170
1079,1545
1080,1340
1081,1165
1082,1600
1083,1165
1084,1240
1085,1205
1086,1175
1087,1420
1088,1455
1089,1555
1090,1445
1091,1605
1092,1475
1093,1460
1094,1215
1095,1465
1096,1180
1097,1335
1098,1250
1099,1600
1100,1440
1101,1305
1102,1190
1103,1510
1104,1280
1105,1445
1106,1215
1107,1535
1108,1435
1109,1335
1110,1555
1111,1255
1112,1350
1113,1320
1114,1160
1115,1490
1116,1475
1117,1425
1118,1425
1119,1280
1120,1545
1121,1200
1122,1420
1123,1425
1124,1195
1125,1545
1126,1525
