,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
0,3,4,1,7,11,4,5,11,1,0,0,1,6,1,1,3,3,13,5,0,19,8,0,3,1,0,9,25,11,5,15,15,7,17,5,1,10,3,8,9,2,0,5,27,2,0,1,6,8,3,12,0,0,3,0,7,33,6,7,0,3,1,10,0,3,3,8,0,0,0,13,0,2,0,0,2,0,4,0,0,2,9,2,0,3,1,1,0,0,0,6,0,6,14,9,29,7,0,0,2,14,2,0,1,13,1,5,6,0,12,2,12,8,13,9,1,2,2,2,1,1,13,0,1,2,0,1,1,0,0,0,2,0,0,0,4,5,0,0,1,0,20,0,0,0,0,13,5,1,3,1,5,25,12,0,0,0,0,0,0,1,0,21,1,3,3,0,11,0,8,8,41,0,0,5,0,5,3,5,4,0,8,7,4,21,2,10,5,7,11
1,1,3,0,5,5,2,0,7,4,0,0,1,3,2,0,4,7,8,8,7,12,17,0,5,0,2,1,9,15,0,15,23,9,10,0,0,12,1,13,13,35,0,3,28,4,0,0,7,11,3,17,0,0,6,0,8,31,4,13,0,6,1,11,1,3,3,7,1,0,0,8,0,2,0,0,4,0,6,0,2,6,1,3,0,3,0,0,0,3,0,10,0,10,9,21,19,5,7,0,23,11,4,0,2,19,0,15,11,0,24,2,7,7,16,3,2,2,6,9,8,2,12,0,2,0,1,1,1,2,1,0,2,0,0,0,16,7,0,0,4,0,20,0,0,1,0,18,11,5,1,1,4,30,12,1,0,0,0,3,0,1,0,18,1,1,1,2,16,4,8,4,29,0,0,4,0,10,3,7,5,0,8,4,5,24,4,11,4,7,8
2,1,3,2,5,10,6,4,3,3,0,0,2,6,10,0,3,3,15,8,0,10,10,3,21,4,1,21,25,41,13,10,27,5,56,6,0,6,0,4,9,12,0,3,18,3,0,2,7,12,5,22,0,1,6,0,8,36,14,11,0,3,4,9,0,12,3,5,4,0,0,12,0,4,0,0,8,0,2,0,1,17,11,3,0,2,1,4,0,0,2,4,0,10,11,0,14,5,0,2,1,64,15,1,1,7,5,14,12,0,21,2,8,4,11,13,1,2,13,5,0,0,4,0,1,2,4,0,0,2,0,0,3,0,0,0,6,1,1,15,1,0,10,0,0,1,0,7,8,2,1,3,3,29,11,0,0,0,0,2,0,0,0,22,0,5,2,0,9,2,7,4,39,0,0,6,0,0,0,5,8,2,9,2,1,23,5,11,6,7,12
3,0,9,2,4,8,5,8,4,2,0,0,0,1,7,1,1,6,17,11,0,14,12,2,21,0,0,21,19,28,8,8,20,9,53,15,0,8,0,5,15,11,0,2,20,1,0,1,2,6,8,16,0,3,4,0,7,34,6,13,0,2,4,18,1,4,11,7,2,0,0,9,0,1,2,0,11,0,8,0,1,6,12,8,0,4,2,5,0,2,0,5,0,7,19,0,21,6,0,0,1,33,8,0,0,10,2,11,14,0,19,0,17,5,5,19,3,2,10,4,6,1,7,0,1,3,12,2,2,1,0,0,2,0,0,0,6,3,0,6,0,0,11,0,0,0,0,10,5,0,4,1,7,25,14,5,0,0,0,6,0,0,0,21,0,3,6,0,6,1,6,7,30,0,1,4,0,4,2,15,4,4,10,1,8,24,6,15,7,5,7
4,0,3,0,15,9,9,6,7,5,0,0,5,3,10,2,9,4,2,15,0,10,13,0,28,2,4,16,16,11,3,6,16,7,19,3,0,10,1,5,12,27,0,7,14,5,2,0,7,14,13,25,0,1,1,0,7,26,12,16,0,0,7,28,0,0,8,6,1,0,0,8,0,4,4,0,7,0,7,0,6,27,1,3,0,17,6,0,0,0,1,8,0,20,4,0,9,16,0,4,0,52,16,0,0,7,4,10,13,0,43,2,18,9,6,13,5,1,7,10,1,1,10,0,2,0,9,1,9,4,0,0,1,0,8,0,5,2,5,8,0,0,8,0,0,0,0,8,4,6,4,0,3,28,17,2,0,0,0,4,0,0,0,22,0,5,0,0,14,0,14,6,30,0,0,2,0,0,0,6,6,3,6,0,1,13,7,13,3,15,3
5,0,3,0,3,6,11,5,6,2,0,0,1,9,4,0,4,5,8,4,0,9,2,4,16,0,4,16,16,19,10,7,18,2,24,2,0,9,2,3,6,14,0,2,17,5,0,0,4,4,23,18,3,1,6,1,14,35,11,11,0,2,2,25,0,6,5,7,2,0,0,2,0,2,0,1,7,0,4,0,6,15,3,3,0,7,5,4,0,0,2,5,0,9,11,1,15,12,1,2,0,47,19,0,4,7,2,15,13,0,20,1,9,13,9,12,1,1,11,11,0,0,9,0,2,1,2,0,6,3,0,0,4,0,0,0,9,3,0,19,2,0,16,0,0,1,0,6,1,3,1,3,10,23,16,1,0,0,1,1,0,0,0,19,2,6,3,0,8,2,16,1,31,0,1,1,0,0,0,4,4,1,6,0,2,20,3,13,6,6,6
6,0,6,0,11,8,6,7,4,2,0,0,4,5,6,0,5,8,9,8,0,4,14,2,17,1,2,16,18,26,5,5,25,11,25,1,0,10,2,5,12,9,1,2,22,7,0,4,11,9,13,23,0,0,3,1,8,32,19,24,0,1,4,20,0,6,7,11,0,0,1,4,0,3,1,0,10,0,6,0,2,23,3,3,0,7,8,2,1,1,0,10,0,25,9,2,18,11,2,4,0,46,22,0,2,14,6,13,9,0,29,0,20,11,13,17,6,0,21,5,0,2,13,0,7,0,7,0,7,1,0,0,1,0,0,0,15,2,1,12,2,0,19,0,0,3,0,10,4,7,2,1,3,34,11,4,0,0,0,3,0,0,0,17,0,8,2,1,8,4,14,8,38,2,2,1,0,0,1,5,1,3,11,0,7,16,7,24,5,7,19
7,0,3,2,4,12,5,1,7,5,0,0,4,1,1,0,2,3,8,5,4,13,18,0,15,0,1,4,12,17,1,10,18,8,19,8,3,7,4,11,8,8,1,0,27,3,0,2,6,8,12,23,0,0,9,0,7,25,4,13,0,3,1,4,2,4,3,3,0,0,1,7,0,1,0,0,2,0,6,0,1,2,6,3,0,5,3,0,0,3,0,6,0,8,8,3,19,5,0,0,3,13,5,0,3,9,0,6,5,0,10,0,18,10,14,7,3,2,5,8,8,0,11,0,3,2,3,3,2,0,0,0,2,0,2,0,5,5,0,0,9,0,14,0,0,0,0,13,8,0,5,2,3,24,13,2,0,0,0,4,0,0,0,17,0,4,6,0,14,2,11,11,34,0,0,2,0,8,2,6,3,2,12,8,10,24,4,12,5,4,10
8,0,3,0,8,7,4,4,1,1,0,0,0,2,3,0,1,2,12,12,0,11,9,2,6,0,1,19,19,38,10,7,23,3,39,10,0,4,0,3,6,8,0,10,21,1,0,0,7,7,3,20,0,1,5,0,9,21,6,1,0,2,5,19,5,3,3,6,1,0,0,5,0,2,0,0,4,0,6,0,0,4,7,4,0,5,0,1,0,0,0,3,0,12,10,0,15,3,0,2,1,54,3,0,1,7,5,7,13,0,12,4,10,10,15,6,1,5,7,8,0,2,8,0,1,0,0,0,3,1,0,0,0,0,0,0,1,4,0,3,2,0,11,0,0,0,0,15,1,0,4,0,5,28,16,4,0,0,0,0,0,0,0,13,1,2,0,0,9,2,4,4,23,0,0,4,0,0,1,3,2,1,8,0,2,24,5,16,12,11,12
9,5,5,1,1,10,2,0,9,4,0,0,3,2,2,0,2,3,0,2,2,12,2,0,3,1,5,0,6,12,0,15,12,8,10,1,0,8,1,12,5,18,0,2,29,0,0,0,7,8,8,23,0,0,4,1,9,24,11,6,0,2,1,13,1,4,5,4,0,0,0,3,2,1,0,0,3,0,6,0,1,7,3,3,0,2,1,3,0,4,0,4,0,11,5,21,22,9,3,0,13,24,8,1,2,15,0,10,16,0,21,4,7,6,6,3,4,3,5,7,5,0,12,0,2,1,3,1,2,0,0,0,0,0,0,1,13,6,0,0,2,0,13,0,0,0,0,19,5,1,3,6,4,30,11,2,0,0,0,2,0,0,0,26,0,4,0,1,10,2,12,2,28,0,0,4,0,7,2,4,0,0,4,5,5,26,1,11,4,4,5
