,0
0,2005
1,1945
2,2040
3,2090
4,1705
5,1920
6,2020
7,1920
8,1670
9,2105
10,1740
11,2020
12,2170
13,2170
14,1820
15,1820
16,2070
17,1840
18,1800
19,1955
20,2155
21,2205
22,2055
23,1600
24,1690
25,2035
26,2070
27,1855
28,1755
29,1850
30,2045
31,1955
32,1795
33,1870
34,2255
35,1785
36,2120
37,2005
38,2140
39,2135
40,1670
41,2140
42,1885
43,1925
44,2235
45,1955
46,1960
47,2000
48,2120
49,1955
50,1840
51,1870
52,2070
53,2005
54,1990
55,2080
56,2020
57,1820
58,2170
59,1855
60,1885
61,2040
62,1815
63,1820
64,2025
65,1990
66,2120
67,2105
68,2085
69,2055
70,1760
71,2010
72,1935
73,2270
74,1825
75,2135
76,1820
77,2290
78,1920
79,1905
80,2205
81,2150
82,1750
83,1850
84,1955
85,2045
86,2300
87,2370
88,1875
89,2050
90,1985
91,2250
92,2135
93,1990
94,2255
95,1705
96,1725
97,2240
98,2270
99,2405
100,1865
101,2205
102,2320
103,1755
104,2020
105,2010
106,1910
107,2440
108,2770
109,2170
110,2060
111,1705
112,2455
113,2270
114,2785
115,1870
116,1825
117,1990
118,2395
119,1835
120,1945
121,2155
122,1785
123,1970
124,1870
125,2040
126,2120
127,2105
128,1970
129,1770
130,2020
131,2120
132,1805
133,1870
134,2055
135,2055
136,2050
137,1770
138,2070
139,1970
140,2105
141,2220
142,1840
143,1835
144,1800
145,1970
146,1815
147,1735
148,1935
149,1780
150,2070
151,2135
152,1965
153,1890
154,1835
155,1935
156,2070
157,1950
158,1705
159,2000
160,2135
161,2020
162,1750
163,1870
164,2000
165,2140
166,2005
167,1935
168,1945
169,2125
170,1985
171,1905
172,1840
173,1735
174,1955
175,1855
176,1990
177,1770
178,1770
179,2155
180,2220
181,1990
182,2170
183,2105
184,2120
185,1970
186,1970
187,1770
188,1720
189,1985
190,2020
191,1800
192,1815
193,1785
194,2120
195,2055
196,2020
197,1885
198,1970
199,1905
200,2200
201,1855
202,1735
203,1990
204,1920
205,1735
206,2070
207,2170
208,2040
209,1640
210,1970
211,1970
212,2005
213,1720
214,2155
215,1805
216,1870
217,1670
218,2155
219,1835
220,1920
221,1820
222,1685
223,2195
224,1950
225,2240
226,2255
227,1840
228,2105
229,1875
230,1770
231,2005
232,2200
233,1840
234,1855
235,1955
236,1800
237,1970
238,1770
239,2105
240,2285
241,1785
242,1750
243,1835
244,2090
245,1885
246,1730
247,2130
248,2155
249,2020
250,2220
251,1820
252,1985
253,1890
254,2035
255,2070
256,1820
257,1905
258,2120
259,1750
260,2155
261,2105
262,1855
263,1835
264,2105
265,1950
266,1820
267,2005
268,2170
269,2145
270,2005
271,1820
272,1840
273,1805
274,2070
275,1985
276,1920
277,1985
278,1785
279,2080
280,1755
281,2135
282,2055
283,2070
284,1990
285,2000
286,1890
287,1700
288,2120
289,1900
290,2055
291,2200
292,2035
293,1800
294,1870
295,2120
296,2010
297,2090
298,1890
299,2185
300,2105
301,1950
302,1905
303,1990
304,2015
305,1855
306,1855
307,1970
308,1740
309,2105
310,2115
311,1885
312,1870
313,1755
314,1705
315,1835
316,1920
317,2035
318,2470
319,2050
320,1840
321,2135
322,2405
323,2085
324,2135
325,1785
326,1840
327,1920
328,1985
329,1855
330,1985
331,1720
332,1820
333,1990
334,2140
335,1885
336,1920
337,2080
338,1935
339,2285
340,1985
341,1755
342,1935
343,1730
344,2040
345,2340
346,1755
347,1710
348,2250
349,1805
350,1770
351,2020
352,2120
353,2120
354,1740
355,2070
356,2185
357,1785
358,1785
359,2255
360,1840
361,1770
362,2355
363,1955
364,2085
365,1975
366,1755
367,2035
368,2085
369,2125
370,2035
371,2235
372,2105
373,1865
374,1855
375,1955
376,2120
377,1870
378,2085
379,1820
380,2020
381,1890
382,1835
383,2020
384,2135
385,1685
386,1915
387,1685
388,1870
389,1920
390,2075
391,2120
392,1735
393,2185
394,1870
395,1870
396,2055
397,1720
398,1700
399,2205
400,2105
401,1990
402,2070
403,1855
404,1785
405,1855
406,2135
407,1890
408,1920
409,1720
410,1705
411,1900
412,2105
413,2070
414,1975
415,1755
416,1920
417,2090
418,2120
419,1870
420,1840
421,2120
422,1970
423,2055
424,1890
425,2240
426,1885
427,1870
428,2060
429,2135
430,2035
431,1885
432,1955
433,2005
434,2020
435,1885
436,1840
437,2035
438,2000
439,1975
440,1655
441,1720
442,1735
443,1990
444,2035
445,2055
446,1775
447,1785
448,2050
449,1870
450,1840
451,1750
