,0
0,3
1,1
2,5
3,4
4,7
5,6
6,6
7,3
8,5
9,1
10,1
11,4
12,5
13,2
14,0
15,6
16,5
17,3
18,2
19,4
20,3
21,0
22,6
23,7
24,6
25,5
26,6
27,0
28,7
29,1
30,1
31,3
32,4
33,5
34,0
35,2
36,3
37,4
38,7
39,2
40,6
41,4
42,4
43,5
44,2
45,7
46,0
47,2
48,5
49,1
50,7
51,3
52,3
53,6
54,1
55,0
56,0
57,6
58,6
59,2
60,7
61,2
62,5
63,3
64,4
65,3
66,0
67,5
68,7
69,1
70,4
71,1
72,3
73,1
74,0
75,4
76,7
77,7
78,2
79,6
80,5
81,2
82,5
83,4
84,1
85,6
86,0
87,3
88,4
89,7
90,1
91,2
92,5
93,0
94,2
95,3
96,7
97,0
98,1
99,4
100,6
101,3
102,5
103,7
104,0
105,0
106,2
107,7
108,4
109,1
110,3
111,6
112,6
113,2
114,5
115,4
116,5
117,3
118,0
119,7
120,3
121,3
122,0
123,5
124,1
125,7
126,0
127,4
128,4
129,5
130,6
131,1
132,3
133,0
134,2
135,6
136,0
137,4
138,7
139,4
140,1
141,3
142,5
143,7
144,1
145,2
146,6
147,7
148,6
149,4
150,7
151,2
152,3
153,4
154,6
155,1
156,7
157,2
158,5
159,6
160,2
161,0
162,0
163,3
164,4
165,1
166,7
167,2
168,0
169,4
170,5
171,4
172,0
173,3
174,5
175,7
176,2
177,1
178,6
179,6
180,3
181,1
182,0
183,1
184,3
185,6
186,0
187,7
188,3
189,4
190,7
191,4
192,2
193,6
194,2
195,6
196,0
197,3
198,0
199,7
200,1
201,4
202,6
203,4
204,2
205,5
206,5
207,3
208,1
209,7
210,2
211,4
212,3
213,2
214,1
215,0
216,1
217,7
218,2
219,4
220,6
221,3
222,6
223,7
224,0
225,5
226,6
227,7
228,3
229,4
230,5
231,1
232,0
233,0
234,6
235,7
236,2
237,2
238,1
239,4
240,5
241,4
242,0
243,7
244,6
245,2
246,3
247,0
248,5
249,7
250,4
251,1
252,1
253,6
254,3
255,2
256,7
257,6
258,4
259,2
260,7
261,6
262,4
263,0
264,1
265,3
266,5
267,0
268,3
269,4
270,6
271,6
272,3
273,5
274,5
275,7
276,0
277,1
278,7
279,1
280,2
281,0
282,2
283,4
284,3
285,7
286,3
287,7
288,1
289,2
290,0
291,6
292,2
293,0
294,5
295,5
296,1
297,4
298,6
299,2
300,5
301,3
302,2
303,4
304,7
305,7
306,5
307,0
308,0
309,1
310,6
311,4
312,1
313,3
314,6
315,1
316,4
317,2
318,6
319,0
320,3
321,4
322,5
323,1
324,3
325,2
326,7
327,0
328,1
329,6
330,3
331,0
332,7
333,7
334,4
335,4
336,2
337,0
338,1
339,2
340,6
341,3
342,1
343,0
344,7
345,5
346,6
347,7
348,0
349,3
350,2
351,3
352,4
353,6
354,4
355,1
356,2
357,5
358,0
359,3
360,7
361,6
362,2
363,6
364,7
365,3
366,4
367,1
368,0
369,4
370,2
371,1
372,5
373,6
374,4
375,7
376,1
377,5
378,3
379,2
380,2
381,1
382,0
383,4
384,6
385,7
386,3
387,5
388,4
389,7
390,3
391,6
392,3
393,2
394,2
395,0
396,4
397,7
398,6
399,1
400,0
401,1
402,3
403,6
404,7
405,4
406,1
407,1
408,2
409,3
410,0
411,0
412,4
413,6
414,7
415,7
416,5
417,5
418,0
419,2
420,0
421,2
422,7
423,3
424,3
425,4
426,4
427,1
428,0
429,5
430,6
431,2
432,2
433,3
434,7
435,6
436,1
437,4
438,1
439,4
440,7
441,3
442,0
443,4
444,3
445,5
446,1
447,0
448,2
449,3
450,6
451,7
452,4
453,7
454,2
455,1
456,0
457,0
458,2
459,1
460,3
461,6
462,4
463,2
464,7
465,1
466,4
467,7
468,5
469,6
470,0
471,3
472,2
473,7
474,4
475,3
476,0
477,0
478,6
479,1
480,4
481,5
482,3
483,1
484,6
485,2
486,7
487,5
488,7
489,1
490,6
491,4
492,3
493,6
494,1
495,0
496,7
497,0
498,5
499,4
500,2
501,2
502,3
503,3
504,0
505,6
506,7
507,1
508,6
509,4
510,5
511,2
512,5
513,1
514,2
515,3
516,4
517,7
518,0
519,2
520,6
521,5
522,7
523,4
524,4
525,6
526,3
527,2
528,5
529,0
530,1
531,3
532,1
533,0
534,7
535,4
536,4
537,7
538,2
539,0
540,1
541,6
542,1
543,2
544,3
545,5
546,5
547,7
548,0
549,3
550,6
551,7
552,4
553,2
554,3
555,1
556,7
557,5
558,2
559,5
560,0
561,6
562,4
563,3
564,1
565,0
566,6
567,5
568,4
569,7
570,6
571,7
572,2
573,3
574,1
575,4
576,0
577,1
578,0
579,5
580,3
581,2
582,6
583,4
584,6
585,7
586,1
587,7
588,3
589,4
590,3
591,5
592,6
593,2
594,0
595,2
596,5
597,1
598,0
599,7
600,0
601,1
602,4
603,2
604,6
605,3
606,3
607,0
608,5
609,7
610,2
611,4
612,6
613,5
614,2
615,4
616,4
617,7
618,6
619,5
620,0
621,7
622,3
623,1
624,1
625,3
626,2
627,3
628,4
629,1
630,6
631,5
632,1
633,0
634,7
635,2
636,5
637,7
638,0
639,6
640,2
641,3
642,0
643,7
644,5
645,6
646,3
647,1
648,2
649,1
650,4
651,5
652,6
653,7
654,2
655,3
656,4
657,0
658,6
659,6
660,5
661,1
662,2
663,7
664,0
665,2
666,0
667,7
668,4
669,5
670,3
671,4
672,1
673,3
674,0
675,5
676,7
677,2
678,3
679,7
680,0
681,4
682,6
683,3
684,2
685,1
686,4
687,1
688,5
689,6
690,6
691,6
692,4
693,3
694,2
695,0
696,0
697,5
698,5
699,2
700,1
701,7
702,7
703,3
704,4
705,6
706,2
707,1
708,4
709,1
710,3
711,2
712,5
713,0
714,7
715,6
716,3
717,7
718,4
719,5
720,0
721,3
722,2
723,4
724,5
725,6
726,4
727,5
728,6
729,2
730,0
731,7
732,3
733,7
734,1
735,0
736,0
737,7
738,7
739,2
740,3
741,1
742,0
743,4
744,5
745,2
746,6
747,5
748,4
749,1
750,3
751,6
752,6
753,5
754,0
755,1
756,4
757,6
758,0
759,3
760,2
761,7
762,2
763,5
764,7
765,4
766,3
767,1
768,5
769,4
770,3
771,5
772,7
773,7
774,6
775,0
776,0
777,1
778,6
779,2
780,2
781,1
782,3
783,4
784,7
785,1
786,4
787,6
788,5
789,2
790,2
791,2
792,5
793,6
794,3
795,7
796,4
797,2
798,4
799,3
800,0
801,1
802,1
803,7
804,0
805,5
806,6
807,0
808,7
809,4
810,3
811,5
812,1
813,1
814,3
815,6
816,5
817,0
818,2
819,4
820,6
821,7
822,2
823,4
824,7
825,0
826,4
827,3
828,3
829,2
830,0
831,1
832,6
833,7
834,6
835,1
836,5
837,2
838,5
839,5
840,1
841,3
842,6
843,5
844,7
845,0
846,4
847,4
848,2
849,7
850,1
851,6
852,3
853,2
854,2
855,3
856,3
857,5
858,7
859,5
860,0
861,1
862,6
863,4
864,6
865,0
866,4
867,7
868,1
869,2
870,6
871,1
872,4
873,5
874,4
875,3
876,5
877,1
878,0
879,7
880,0
881,7
882,6
883,2
884,3
885,2
886,1
887,4
888,3
889,6
890,4
891,7
892,6
893,0
894,0
895,2
896,2
897,7
898,1
899,5
900,5
901,3
902,3
903,3
904,5
905,4
906,4
907,0
908,2
909,0
910,7
911,6
912,1
913,5
914,2
915,6
916,1
917,7
918,4
919,6
920,1
921,2
922,6
923,5
924,0
925,7
926,3
927,1
928,3
929,4
930,2
931,5
932,7
933,0
934,0
935,6
936,1
937,1
938,2
939,4
940,7
941,4
942,5
943,6
944,3
945,5
946,3
947,0
948,7
949,2
950,6
951,0
952,0
953,2
954,5
955,4
956,6
957,3
958,4
959,1
960,7
961,2
962,5
963,3
964,1
965,0
966,6
967,7
968,1
969,3
970,7
971,5
972,6
973,1
974,2
975,4
976,2
977,5
978,0
979,4
980,3
981,0
982,6
983,0
984,3
985,7
986,6
987,1
988,4
989,5
990,2
991,5
992,3
993,4
994,1
995,7
996,2
997,5
998,5
999,1
1000,4
1001,0
1002,7
1003,1
1004,7
1005,4
1006,2
1007,3
1008,6
1009,0
1010,2
1011,6
1012,3
1013,3
1014,7
1015,3
1016,4
1017,6
1018,1
1019,2
1020,7
1021,6
1022,0
1023,1
1024,5
1025,2
1026,0
1027,4
1028,5
1029,4
1030,3
1031,7
1032,3
1033,1
1034,4
1035,5
1036,0
1037,0
1038,5
1039,7
1040,6
1041,2
1042,6
1043,2
1044,1
1045,3
1046,6
1047,7
1048,4
1049,5
1050,1
1051,2
1052,3
1053,0
1054,7
1055,4
1056,0
1057,2
1058,5
1059,6
1060,1
1061,5
1062,0
1063,1
1064,7
1065,3
1066,4
1067,4
1068,5
1069,1
1070,3
1071,6
1072,6
1073,2
1074,0
1075,7
1076,2
1077,5
1078,4
1079,5
1080,7
1081,2
1082,1
1083,3
1084,0
1085,6
1086,1
1087,0
1088,6
1089,2
